Date,Open,High,Low,Close,Adj Close,Volume
2022-03-23,261.260010,266.119995,255.750000,256.339996,256.100677,50212000
2022-03-24,261.660004,283.200012,259.070007,281.500000,281.237183,87737900
2022-03-25,278.859985,283.579987,272.709991,276.920013,276.661469,57901600
2022-03-28,277.559998,282.500000,272.059998,282.190002,281.926514,42549400
2022-03-29,286.950012,289.459991,279.799988,286.559998,286.292450,48898400
2022-03-30,283.040009,284.959991,275.029999,276.899994,276.641449,46348700
2022-03-31,277.820007,282.480011,272.700012,272.859985,272.605225,52344000
2022-04-01,273.750000,274.959991,262.670013,267.119995,266.870575,51723500
2022-04-04,267.279999,275.579987,266.130005,273.600006,273.344574,39712000
2022-04-05,272.540009,273.190002,258.200012,259.309998,259.067902,43661500
2022-04-06,249.339996,253.000000,240.029999,244.070007,243.842117,70383300
2022-04-07,244.410004,247.220001,234.779999,242.080002,241.853973,55799200
2022-04-08,239.169998,239.229996,230.619995,231.190002,230.974136,52478100
2022-04-11,222.139999,223.199997,216.600006,219.169998,218.965363,57520700
2022-04-12,225.369995,227.250000,212.820007,215.039993,214.839218,66225800
2022-04-13,217.279999,225.000000,214.550003,222.029999,221.822678,51694300
2022-04-14,225.050003,227.770004,211.630005,212.580002,212.381516,56909700
2022-04-18,212.000000,220.880005,210.789993,217.830002,217.626617,52570100
2022-04-19,217.199997,223.729996,213.139999,221.979996,221.772720,51278100
2022-04-20,225.169998,226.699997,212.000000,214.820007,214.619431,46897400
2022-04-21,217.089996,223.919998,200.000000,201.830002,201.641556,65620900
2022-04-22,203.029999,204.860001,195.000000,195.149994,194.967789,62471300
2022-04-25,192.020004,199.449997,190.960007,199.020004,198.834183,64156600
2022-04-26,197.179993,197.880005,186.699997,187.880005,187.704590,65314300
2022-04-27,185.979996,191.669998,182.899994,184.149994,183.978058,49946000
2022-04-28,189.669998,200.369995,184.899994,197.820007,197.635300,57032700
2022-04-29,194.020004,201.279999,185.169998,185.470001,185.296829,50043500
2022-05-02,185.410004,195.740005,183.910004,195.330002,195.147629,57204900
2022-05-03,194.000000,198.250000,191.330002,196.020004,195.836990,47575100
2022-05-04,199.229996,204.000000,187.509995,203.339996,203.150146,64885500
2022-05-05,198.669998,199.250000,185.000000,188.440002,188.264038,62633100
2022-05-06,187.360001,195.119995,179.899994,186.750000,186.575638,63329700
2022-05-09,180.339996,182.550003,168.270004,169.500000,169.341751,64445500
2022-05-10,176.889999,181.979996,170.250000,175.949997,175.785706,76147400
2022-05-11,173.470001,177.529999,165.679993,166.300003,166.144745,67016700
2022-05-12,162.190002,167.880005,155.669998,161.750000,161.598969,70872800
2022-05-13,167.880005,179.279999,165.929993,177.059998,176.894669,67043700
2022-05-16,175.089996,177.880005,171.059998,172.639999,172.478790,52144600
2022-05-17,180.740005,183.710007,176.339996,181.770004,181.600296,58583000
2022-05-18,177.050003,181.179993,168.639999,169.380005,169.221848,54516100
2022-05-19,169.369995,176.869995,167.339996,171.240005,171.080139,62131000
2022-05-20,173.320007,174.100006,157.550003,166.940002,166.784134,73910500
2022-05-23,162.740005,169.149994,161.789993,168.979996,168.822235,63988900
2022-05-24,165.100006,165.970001,157.800003,161.539993,161.389160,58855000
2022-05-25,160.199997,171.110001,160.000000,169.750000,169.591507,78113200
2022-05-26,160.360001,180.919998,160.220001,178.509995,178.343323,99657500
2022-05-27,181.860001,188.809998,181.000000,188.110001,187.934357,73837900
2022-05-31,189.800003,192.000000,183.500000,186.720001,186.545654,66410000
2022-06-01,187.240005,190.529999,181.220001,183.199997,183.028946,54451400
2022-06-02,182.919998,196.190002,181.979996,195.919998,195.737061,64865600
2022-06-03,190.820007,193.320007,185.220001,187.199997,187.025208,59877900
2022-06-06,191.389999,193.369995,185.639999,187.860001,187.684601,42240600
2022-06-07,184.720001,190.000000,181.880005,189.259995,189.083282,38891400
2022-06-08,187.990005,191.800003,185.350006,186.479996,186.345261,36325200
2022-06-09,184.809998,189.330002,180.410004,180.479996,180.349609,39557400
2022-06-10,176.000000,176.970001,168.690002,169.740005,169.617371,46524800
2022-06-13,160.000000,163.119995,156.059998,156.470001,156.356964,60415300
2022-06-14,157.309998,160.660004,154.119995,158.360001,158.245605,46968000
2022-06-15,160.949997,168.679993,159.259995,165.270004,165.150604,56393600
2022-06-16,158.600006,159.419998,154.009995,156.009995,155.897278,54574900
2022-06-17,156.479996,159.949997,153.279999,158.800003,158.685272,63033400
2022-06-21,164.750000,170.080002,164.070007,165.660004,165.540314,48308900
2022-06-22,162.259995,166.619995,161.800003,163.600006,163.481812,43713500
2022-06-23,165.190002,165.850006,158.529999,162.250000,162.132767,46368000
2022-06-24,165.000000,171.399994,163.100006,171.259995,171.136261,47215300
2022-06-27,173.119995,173.300003,166.259995,168.690002,168.568130,42796800
2022-06-28,169.000000,172.020004,159.449997,159.820007,159.704529,46114900
2022-06-29,158.139999,158.199997,151.699997,155.419998,155.307709,48235200
2022-06-30,153.610001,155.669998,148.619995,151.589996,151.480469,68607000
2022-07-01,148.990005,150.630005,143.919998,145.229996,145.125076,57761000
2022-07-05,141.750000,149.710007,140.550003,149.639999,149.531891,65139700
2022-07-06,150.100006,153.190002,147.889999,151.300003,151.190689,52906600
2022-07-07,154.559998,159.449997,153.889999,158.580002,158.465424,49290300
2022-07-08,154.300003,160.369995,153.889999,158.380005,158.265564,46797200
